Company,Phone,Fax,Web,Sector(s),Product,Nationality,Address,Additional1,Additional2
Medtronic Ireland Manufacturing Limited,+353 91 708000,,www.medtronic.com,,Medical Equipment & Supplies, Cardiac Rythm Management,United States of America,Medtronic Vascular Galway Ltd Parkmore Business Park West  Galway Galway Ireland,
Infineon Technologies Ireland Limited,+353 1 7999500,+353 1 7999501,www.infineon.com,ICT- ICT - Hardware,Semiconductors- Customer Logistics Mgnt Centre,Germany,Fumbally Square (2nd floor) Fumbally Lane  New Street  Dublin Dublin Ireland,,
Amgen,+353 1 204 9100,,www.amgen.com,Bio Pharmaceuticals,biopharmaceuticals,United States of America,Pottery Road   Dun Laoghaire Dublin Ireland,,
Aptar Ballinasloe Limited,+353 90 964 6033,+353 90 964 6034,www.aptar.com,Engineering,Dispensing System for perfumary & cosmetic products,United States of America,IDA Business Park Creagh  Ballinasloe Galway Ireland,,
Elavon Financial Services Limited Arklow,+353 1 40225902,,www.elavon.ie,Financial Services,Trustee, data processing & administration services,United States of America,Ballybrit Business Park Arklow Business Park  Arklow Wicklow Ireland,
Snap On Equipment Europe Limited,+353 214211600,+353 214211601,www.snapon.com,Engineering,Hand Tools,United States of America,Unit 44  North point Business Park Mallow Rd  Cork Cork Ireland,,
Ge Financial Markets,+353 1 4021100,+353 1 4021849,,,Foreign Exchange Hedging for GE Group,United States of America,Le Pole House Ship Street Great  Dublin Dublin Ireland,,
McAfee Ireland Limited,+353 21 4672000,,www.mcafee.com,ICT- ICT - Software,enterprize network security and mgmt sw,United States of America,Unit 2000 City Gate Mahon Cork Cork Ireland,,
Zeus Industrial Products (Ireland) Limited,+353 74 9160050,,www.zeusinc.com,Medical Technology,Tubing Suppliers Medical Aerospace Computer Tubing,United States of America,IDA Business Park Lisnennan  Letterkenny Donegal Ireland,,
Lufthansa Technik Shannon,+353 61 370000,+353 61 361100,www.shannonaerospace.com,,Maintenance, Repair and Overhaul of Aircraft and Systems.,Germany,Shannon Airport   Shannon Clare Ireland,
Multi-Packaging Solutions (Dublin),+353 1 623 6700,+353 1 621 5121,www.multipkg.com,,Supply self-adhesive label products,United States of America,Fonthill Business Park Fonthill Road  Dublin Dublin Ireland,,
Tomra Sorting Solutions,+353 1 413 6200,+353 1 457 0219,www.odenberg.com,,Sensor based sorting technologies,Norway,Unit 2004 Orchard AvenueCitywest Business Campus   Dublin Dublin Ireland,,
State Street International (Ireland) Limited,+353 1 7768000,,www.statestreet.com,Financial Services,Fund Services - Administration, Custody/Trustee, Transfer Agency and other value added services,United States of America,78 Sir John Rogerson's Quay   Dublin Dublin Ireland
Transas Limited,+353 21 4710400,,www.transas.com,ICT- ICT - Software,Shared Service Centre and Technical Support,Finland,10 Eastgate Avenue Eastgate Business Park  Little Island Cork Ireland,,
Janssen Sciences Ireland UC,+353 21 4973000,+353 21 4973031,www.janssenbio.com,Bio Pharmaceuticals,Therapeutic and diagnostic human healthcare products,United States of America,Barnahely   Ringaskiddy Cork Ireland,,
Speed Electronics Limited,+353 65 6869044,+353 65 6869446,www.speed-electronics.com,,connectors and cable assemblies,Germany,Gort Road   Ennis Clare Ireland,,
Hewlett Packard International Bank PLC,+353 1 6150000,+353 1 6150166,www.hp.com,,Computer Printers,United States of America,Liffey Park Technology Campus   Leixlip Kildare Ireland,,
Merian,+353 1 4793900,+353 1 4773454,www.skandia.ie,Financial Services,International Life Assurance,United Kingdom,Iveagh Court Block D 6-8 Harcourt Road  Dublin Dublin Ireland,,
Kwik Lok (Ireland) Limited,+353 61 471193,+353 61 472683,www.kwiklok.com,,',United States of America,Bay 72 Shannon Industrial Estate   Shannon Clare Ireland,,
QT Technologies Ireland Limited,+353 21 2454600,,,ICT,Telecommunications chips / equipment,United States of America,Unit 2300 Building 2000  City Gate Cork Mahon Cork Ireland,,
Fort Wayne Metals Ireland Limited,+353 94 9043500,+353 94 9043555,www.fortwaynemetals.com,Medical Technology,Precision Wire for Medical Industry,United States of America,Castlebar Technology Park Moneen Road  Castlebar Mayo Ireland,,
Superlum Diodes Limited,+353 21 4533666,+353 21 4533026,www.superlumdiodes.com,ICT- ICT - Hardware,Superluminescent Diodes,Russia,Unit B3 Fota Point Enterprise Park  Carrigtwohill Cork Ireland,,
SITA Letterkenny,+353 74 9194700,,www.sita.aero,Business Services,Airline IT and Communication Services,Switzerland,IDA Business & Technology Park Carnamuggagh Lower  Letterkenny Donegal Ireland,,
Als Minerals,+353 91 841 741,+353 91 842 146,www.alsglobal.com,,Geochemical & Assay services to the mining and exploration industry,Australia,Athenry Road   Loughrea Galway Ireland,,
Keyedin Solutions,+44 1274 863300,,www.keyedin.com,,,United States of America,Co Lab Letterkenny Institute of Technology Port Road Letterkenny Donegal Ireland,,
Storagecraft Technology,+353 21 237 3500,,www.storagecraft.com,,Backup, disaster recovery and business continuity solutions for servers, desktops and laptops,United States of America,Tellengana House   Blackrock Cork Cork Ireland
Appirio Ltd.,+353 1 571 9590,,www.appirio.com,,,United States of America,First Floor, Block D, Iveagh Court
National Bank Of Canada,+353 514 394 5000,,www.nbc.ca,,Personal & Commerical Banking.  sub National Canada financial offers investment banking and brokerage (No 1 in Canada),Canada,Embassy House Herbert Park Lane Ballsbidge Dublin Dublin Ireland,,
CyberScout,,,www.idt911.com,,personal-touch identity management solutions, identity theft recovery services, breach services and data risk management solutions for businesses. ,United States of America,2B Galway Technology Centre Mervue Business Park
Udemy Ireland Limited,,,www.udemy.com,,Online Learning Platform that provides paid and free courses on the internet,United States of America,Fitzwilliam Business Centre 77 Sir John Rogersons Quay  Dublin Dublin Ireland,,
Paypal Europe Services Limited (Dublin),+353 1 2432127,,www.paypal.com,Internet,Customer support and shared services,United States of America,Ballycoolin Business Park   Dublin Dublin Ireland,,
Wilmington Trust Sp Services (Dublin) Limited,+353 1 6125555,,www.wilmingtontrust.com,Financial Services,Management of securitisation SPV's,United States of America,fth Floor 3 George's Dock IFSC Dublin Dublin Ireland,,
Sandisk Corporation,+353 1 8136071,,www.sandisk.com,,,United States of America,Unit 100 Airside Business Park  Swords Dublin Ireland,,
Fideuram Asset Management,+353 1 6738035,+353 1 6738035,www.bancafideuram.it,,Asset Management unit of Rome based Banca Fideuram.  The bank has been acquired by San Paolo.,Italy,George's Court Townsend Street  Dublin Dublin Ireland,,
Diasorin Ireland Limited,+353 1 2831166,+353 1 2831232,www.biotrin.ie,Medical Technology,Diagnostics,Italy,Unit 13/14 Holly Avenue Stillorgan Industrial Park  Blackrock Dublin Ireland,,
Ironplanet Limited,,,www.ironplanet.com,,Online portal for buying-selling heavy equipment,United States of America,Plaza 212  Suite 11 Blanchardstown Corporate Park Two Ballycoolin Dublin Dublin Ireland,,
Teradata Ireland Limited,+353 1 8930800,,www.teradata.com,ICT- ICT - Software,Database & File Management Softwarea Warehousing and Analytic Technologies,United States of America,Building 1  Swift Square Santry  Demense  Dublin Dublin Ireland,,
Avantcard,+353 71 9656000,+353 71 9656901,www.avantcard.ie,Financial Services,Customer contact centre,Spain,Dublin Road   Carrick-on-Shannon Leitrim Ireland,,
Zimmer Orthopedics Manufacturing Limited,+353 61 447700,+353 61 447780,www.zimmer.com,,',United States of America,Shannon Free Zone East Shannon Free Zone East  Shannon Clare Ireland,,
Bristol Myers Squibb Shared Services (Cruiserath),+353 1 4833600,,,,Management of non-US CMOs,United States of America,Cruiserath   Dublin Dublin Ireland,,
Juniper Networks Ireland Limited,+353 1 8903600,+353 1 8903601,www.juniper.net,ICT- ICT - Software,European Administration Centre Network Products,United States of America,Airside Business Park   Swords Dublin Ireland,,
Ingersoll Rand International Ltd.,+353 1 8707000,+353 1 8707001,www.irco.com,Engineering,Shared Services Centre,United States of America,170/175 Lakeview Drive Airside Business Park  Swords Dublin Ireland,,
DLL Ireland Company,+353 1 4814100,+353 1 4814158,www.delagelanden.com,Financial Services,Leasing and structed asset financing, group treasury and ACC asset finance,Netherlands,1 George's Quay Plaza George's Quay  Dublin Dublin Ireland,
Oath Ireland Ltd,+353 1 8663100,+353 1 8663101,www.yahoo.com,Internet,Paid advertising listings,,,,
Amazon Cs Ireland Limited,+353 214839800,,www.amazon.com,,Sell books / music over internet,United States of America,Unit 27 Cork Airport Business Park  Cork Cork Ireland,,
Teleflex Medical Europe Limited,+353 90 6460800,,www.teleflex.com,Medical Technology,,United States of America,Athlone Business & Technology Park Dublin Road  Athlone Westmeath Ireland,,
Ctsi Europe Limited,+353 61 503217,+353 61 338065,www.contraf.com,Business Services,,United States of America,Innovation Centre National Technology Park  Castletroy Limerick Ireland,,
Arch Reinsurance Europe,+353 1 6699700,+353 1 6643749,www.archcapgroup.com,,Accident, Health, Property & Casualty reinsurance,United States of America,Block 3  The Oval 160 Shelbourne Road  Dublin Dublin Ireland
Hedgeserv Limited,+353 21 29203560,,www.hedgeserv.com,,,United States of America,Citygate Mahon  Cork Cork Ireland,,
Vestas Wind Systems (Ireland),,,www.vestas.com,,Vestas Wind Systems and its subsidiaries manufacture and distribute wind turbines used to produce electricity.  Parent = US-based - Technical Sers Centre,Denmark,Estuary House Block 7 Eastpoint Business Park Dublin Dublin Ireland,,
Airbus Helicopters International Services Limited,+ 353 1 791 97 35,,www.eurocopter.com,,Establishment of a fleet operations management centre,France,Ground Floor 6 Georges Dock IFSC  Dublin Ireland,,
Nokia Bell Labs Ireland,+353 1 8864444,+353 1 8864400,www.alcatel-lucent.com,ICT - Hardware- ICT - Software,R&D Centre,,Finland,Blanchardstown Business & Technology Park Snugborough Road Blanchardstown Dublin Dublin Ireland,
Eurofins BioPharma Product Testing Ireland Limited,+353 58 48300,+353 58 42855,www.eurofinslancasterlabs.com,Bio Pharmaceuticals,,Belgium,IDA Industrial Estate, Clogherane   Dungarvan Waterford Ireland,
Wayfair Stores Limited,+353 91425800,,www.csnstores.com,,,United States of America,Wayfair House Tuam Road  Galway Galway Ireland,,
AXA Life Europe dac,+353 1 4711696,,www.axa-lifeeurope.com,,Insurance Intermediary,France,Wolfe Tone House Wolfe Tone Street  Dublin Dublin Ireland,,
Apex Fund Services - Sligo,+353 71 9100000,,www.apexfundservices.com,Financial Services,alternative investments administration,Bermuda,Third Floor Castlewood Castle Street Sligo Sligo Ireland,,
Netscout Ireland,+353 1 2100101,+353 1 2100101,www.arantech.com,,Develop Customer Experience Management (CEM) software for the mobile telcos industry. ,United States of America,6 Blackrock Business Park Carysfort Avenue  Blackrock Dublin Ireland,,
Cognizant Technology Solutions Ireland,,,,, Systems Software.,,EastPoint Business Park    Dublin Ireland,,
Ardmore Shipping Limited,+353 21 2409500,,www.ardmoreshipping.com,,Shipping Finance,Bermuda,Unit 1102 1 Albert Quay  Cork Cork Ireland,,
Zendesk,+353 1 6401800,,www.zendesk.com,,Integrated on-demand helpdesk - customer support portal ,United States of America,One Grand Parade Ranelagh  Dublin Dublin Ireland,,
Powerhealth Solutions,+353 87 249 3112,,www.powerhealthsolutions.com,,,Australia,GUINNESS ENTERPRISE CENTRE TAYLOR'S LANE  Dublin Dublin Ireland,,
Nitro Pdf,,,,,Digital Document Software Company,United States of America,1 Burlington Plaza, 4th Floor Burlington Road  Dublin Dublin Ireland,
Aer Data Ireland Limited,+353 1 214 7580,,,,Aircraft Leasing Industry Software,Netherlands,5th Floor  Block 2 Harbour Square Crofton Road  Dun Laoghaire Dublin Ireland,,
Open Hydro Limited,+353 1 7170200,,www.openhydro.com,Clean Tech,Manufactures marine turbines to generate renewable energy from tidal streams.,France,Greenore   Greenore Louth Ireland,,
GTLK Europe,+353 1 669 4747,,www.gtlkeurope.com,,,Russia,2 Hume Street, Dublin 2   Dublin Dublin Ireland,
Mindtree Limited,,,www.mindtree.com,,,India,3rd Floor, Kilmore House Park Lane Spencer Dock Dublin Dublin Ireland,
Nightowl Discovery,+353 1 525 0760,,,,E-Discovery,United States of America,Regus House Harcourt Road  Dublin Dublin Ireland,,
Abec Technologies Europe Limited,+353 25 35800,,www.abec.com,,Engineering, design and fabrication capabilities for life science industry,United States of America,Coolcarron   Fermoy Cork Ireland,
Cisco Systems,+353 1 819 2700,,www.cisco.com,,Networking products,United States of America,Block P6 East Point Business Park  Dublin Dublin Ireland,,
MUFG Alternative Fund Services (Ireland) Ltd,+353 1 4363600,+353 1 4363601,www.ubs.com/fundservices,Financial Services,Hedge Fund Administration,Switzerland,1 George's Quay Plaza Geroge's Quay  Dublin Dublin Ireland,,
Informatica Ireland Limited,,,www.informatica.com,,Client/server software tools for data marts,United States of America,1 Windmill Ln, 5th Floor    Dublin Ireland,
Blue Nile Jewellery Limited,+353 1 899 1351,,www.bluenile.com,,Online B2C diamond and fine jewellery sales,United States of America,Unit 253  Blanchardstown Corporate Park Ballycoolin   Dublin Ireland,,
Kci Manufacturing Limited,+353 906465000,+353 906465100,https://www.acelity.com/about-kci,Medical Technology,Wound closure,United States of America,IDA Business & Technology Park Dublin Road  Athlone Westmeath Ireland,,
Hovione Limited,+353 21 451 2856,+353 21 437 8697,www.hovione.com,Bio Pharmaceuticals,,Portugal,Loughbeg   Ringaskiddy Cork Ireland,,
Bentley Systems International Limited,+353 1 4364600,,www.bentley.com,,Software,United States of America,2nd Floor Block 2 2 Park PlaceUpper Hatch Street Dublin Dublin Ireland,,
Aspen Pharma Trading Limited,+353 1 630 8400,,www.aspenpharma.com,,,South Africa,3010 Lake Ave Citywest Business Campus  Dublin Dublin Ireland,,
Beazley Insurance DAC,,,,,Reinsurance and Lloyds syndicate,United Kingdom,2 Northwood Avenue Northwood Park  Dublin Dublin Ireland,,
Lifewave Europe Limited,+353 91874609,,www.lifewave.com,,Proprietary health products,United States of America,Raheen Industrial Estate   Athenry Galway Ireland,,
Alter Pharma Ireland,+353 (0)1 8418963,,http://www.gsppharma.ie/en/contact,Bio Pharmaceuticals,Generic Drugs and Parallel Importing,Belgium,Site D, Stephenstown Industrial Park   Balbriggan Dublin Ireland,
Etq Incorporated,+353 86 8064751,,www.eqt.com,,Quality Management Software,United States of America,Roselawn House National Technology Park  Limerick Limerick Ireland,,
Sutherland Global Logistics,,,,,Time-definite transportation & fulfilment logistics services for high value sensitive electronic, medical device and imaging equipment,United States of America,Multi Building Parkmore West Business Park  Galway Galway Ireland,
Amedeo UK,+353 1 205 7960,,www.amedeo.aero,,Aircraft Leasing,United Kingdom,The Oval Shelbourne Road Ballsbridge Dublin Dublin Ireland,,
China Merchants Bank Financial Leasing (Ireland),,,www.cmb-leasing.com,,,China,2 Grand Canal Sq   Dublin Dublin Ireland,,
Datac Control International Limited,+353 1 6717377,,,,SCADA and Telemetry systems for Oil and Gas/Power Distribution Industries. ,United States of America,C/0 GE 31/36 Golden Lane, Dublin 8  Dublin Dublin Ireland,
Ebay Europe Services (Dundalk),+353 1 2432176,,www.ebayinc.com,,,United States of America,Xerox Technology Park Dublin Road  Dundalk Louth Ireland,,
Pfizer Global Financial Shared Services (Europe),+353 1 4807000,+353 1 4807300,www.pfizer.ie,Bio Pharmaceuticals,Financial Shared Services,United States of America,The Watermarque Building Ringsend Road  Ringsend  Dublin Dublin Ireland,,
Societe Generale Securities Services Fund Accounting/Euro Vl,+353 1 6750305,+353 1 6750355,www.euro-vl.com,,Fiund Administration services,France,6  Exchange Place IFSC  Dublin Dublin Ireland,,
Allianz Partners,+353 1 6301300,+353 1 6301396,www.allianzworldwidecare.com,,HQ of AWC located in Dublin providing expat insurance packages,Germany,15 Joyce Way Parkwest Business Park  Dublin Dublin Ireland,,
Ci Consultancy Limited T/a Wolter Kluwer Financial Services Ireland,+353 1 6130958,,www.wolterskluwer.com,,Media/Publishing Group,Netherlands,Ferry House 48 Lower Mount Street  Dublin Dublin Ireland,,
Electronic Arts Ireland,+353 91 732800,,www.ea.com,,Software for Games Consoles, handhelds, mobile phones and computers,United States of America,Unit 1 Parkmore Business Park West Ballybrit Galway Galway Ireland
Tcoag Ireland Limited,+353 1 274 32 00,+353 1 274 66 78,www.tcoag.com,,Blood test kits and instrumentation for use in in-vitro coagulation or clotting diagnostics.,France,IDA Business Park Southern Cross Road  Bray Wicklow Ireland,,
Pfizer Operations Support Group,+353 215008000,,www.pfizer.com,Bio Pharmaceuticals,Finance & admin.support services,United States of America,P.O.Box 17   Ringskiddy Cork Ireland,,
Sap Ssc (Ireland) Limited,+353 91404400,+353 91404410,www.sAP.com,ICT- ICT - Software,Customer Support & Tech Support SSC,Germany,Parkmore East Business Park   Galway Galway Ireland,,
Atlantic Industries,+353 53 9182221,,,Bio Pharmaceuticals,,United States of America,IDA Business & Technology Park Rosslare Road  Drinagh  Wexford Wexford Ireland,,
Bny Mellon Asset Services (Ireland) Limited,+353 21 4380000,,www.bnymellon.com,Financial Services,Expansion of Dublin operation (see 2902300) - holding comany of AIB/BNY fund admin & trustee/custody operating entities which are: AIB/BNY Fund Management (Ireland) Ltd & AIB/BNY Trust Company Ltd,United States of America,Building 6100  Avenue 6000 Cork Airport Business Park Kinsale Road Cork Cork Ireland,,
International Fund Services (Ireland ) Limited,+353 1 7075000,,www.imsi.com,Financial Services,,United States of America,IDA Business Park Donore Road  Drogheda Meath Ireland,,
SS&C,+353 1 6698568,+353 1 6698568,www.globeop.com,,,United States of America,La Touche House IFSC  Dublin Dublin Ireland,,
Emerson Automation Solutions,+353 21 480 7500,+353 21 480 7523,www.emersonprocess.com,Engineering,Electrical-electronic products and systems,United States of America,2200 Cork Airport Business Park Avenue 2000 Kinsale Road Cork Cork Ireland,,
Gerson Lehrman Group,+353 1 4773413,,www.glg.it,,,United States of America,Waterloo Exchange, Waterloo Road, 2nd Floor Dublin Dublin Ireland
Ribbon Communications,+353 91 435273,,www.genband.com,,VOIP systems,United States of America,CK House Parkmore West Business Park  Parkmore  Galway Galway Ireland,,
Abbott Rapid Diagnostics,+353 91 429900,,www.abbott.com,Medical Technology,InVitro Diagnostic Medical Devices,United States of America,Parkmore East Business Park Ballybrit  Galway Galway Ireland,,
Nuance Communications Ireland Limited,+353 1 513 2500,,www.nuance.com,,,United States of America,20 Merrion Road Ballsbridge  Dublin Dublin Ireland,,
Vascular Solutions Zerusa Limited,+353 91 861611,,www.vasc.com,,,United States of America,Galway Business Park Dangan  Galway Galway Ireland,,
FireEye (Dublin),+353 1 613 9300,,,ICT- ICT - Software,anti-virus software,United States of America,Asgard House, City Quay  Dublin Dublin Ireland,
Fireeye Ireland Limited,+353 21 601 9100,,www.fireeye.com,ICT- ICT - Software,anti-botnet protection system,United States of America,2 Park Place, City Gate Park    Cork Ireland,
Diaceutics Limited,+353 42 9419674,,www.diaceutics.com,,Personalised Medicine Consultancy plus Software,United Kingdom,Creative Sparks Clontygora Ct, Muirhevnamore Dundalk Louth Ireland,
Willis Aviation Finance Limited,+353 1 7919886,,www.willislease.com,,Aircraft engine Leasing,United States of America,Connaught House   Dublin Dublin Ireland,,
Marin Software,+353 1 238 1508,,www.marinsoftware.com,ICT - Software,Enterprise-class paid search marketing software applications,United States of America,Block 2 Clanwilliam House Mount Street Lower Dublin Dublin Ireland,,
WorldWide Tech Services,,,www.wwts.com,,Technology Services and Solutions,United States of America,Riverpoint Building   Limerick Limerick Ireland,,
West Pharmaceutical Products Ireland Limited,,,,,,United States of America,Old Kilmeaden Road   Waterford Waterford Ireland,,
Renew Health Limited,+353 90 64 65460,,,,TMJ / Bruxism / Wellness,Singapore,Garrycastle Business & Technology Park   Athlone Westmeath Ireland,,
Sage Pay (Dublin) Limited,,,,,,United Kingdom,50 Patrick Street   Dun Laoighaire Dublin Ireland,,
Swedencare Ireland Limited,+353 51 304010,+353 51 304677,www.swedencareireland.com,,,Sweden,Unit 8 IDA Industrial Park Cork RoadWaterford  Waterford Ireland,,
CACI Life Limited & CACI Non-Life Limited,+353 1 4189750,+353 1 6039649,www.ca-caci.ie,Financial Services,Underwriting Life & non-Life Products,France,Beaux Lane House Mercer Street Lower  Dublin Dublin Ireland,,
MSD Human Health Limited,+353 1 2998700,,www.msd.ie,Bio Pharmaceuticals,Clinical Trial Mgt., Regulatory affairs and marketing,United States of America,Red Oak North Building South County Business Park  Dublin Dublin Ireland,
B Braun Longford,+353 4333 36410,,www.bbraun.ie,Medical Technology,Pre-sterilised parenteral infusion bags,Germany,Unit 5C & 5D Royal Canal ParkAthlone Road   Longford Longford Ireland,,
Microchip Technology - Eastpoint D3,+353 1 8014500,,,ICT,charge-transfer (QT) capacitive sensing technology,United States of America,Block W Ground Floor, East Point Business Park,   Dublin Ireland
Computershare Governance Services,+353 47 71133,,www.cgs.computershare.com,Business Services- ICT - Software,Software Solutions and Services,Australia,M:TEK Building Armagh Road  Monaghan Monaghan Ireland,,
Wedo Technologies,,,,,,,Regus Harcourt Block 4 Harcourt Road Dublin Dublin Ireland,,
Asset Control Ireland Limited,+353 1 4773117,,www.asset-control.com,,,United States of America,25-28 North Wall Quay, IFSC  Dublin Dublin Ireland,
Guidewire Software (Ireland) Limited,+353 1 907 2000,,www.guidewire.com,ICT,Flexible Core Software Systems for General Insurance,United States of America,Unit 3, Nexus Building Block 6A Blanchardstown Corporate Park Ballycoolin Dulbin 15 Dublin Ireland,
Alkermes PLC,+353 1 772 8000,+353 1 772 8001,www.alkermes.com,Bio Pharmaceuticals,,United States of America,Connaught House 1 Burlington Road  Dublin Dublin Ireland,,
Accipiter Holdings Limited,+353 1 531 4503,+353 1 653 5316,,,,China,3 Building 28-29 Sir John Rogerson's Quay  Dublin Dublin Ireland,,
Kyne Ireland,+ 353 1 2750633,,www.kyne.com,,,United States of America,The Merrion Buildings 18-20 Merrion Street  Dublin Dublin Ireland,,
Search Optics Ireland,,,,,,United States of America,Fumbally Studio Fumbally Square Fumbally Lane  Dublin Ireland,,
Espirito Santo Investment PLC,+353 1 8560699,,,,Asset finance and loan syndication,Luxembourg,71-73 Talbot Street   Dublin Dublin Ireland,,
Pinterest (Ireland),,,,,,United States of America,2 Dublin Landings N Wall Quay North Dock Dublin Dublin Ireland,,
Microchip - Dublin 7,+353 1 8730020,,www.actel.com,ICT- ICT - Hardware,,United States of America,Suite 503 The Capel Building  Dublin Dublin Ireland,,
On Semiconductor Ireland Research and Design Limited,+353 61 583000,,www.onsemi.com,,supplier of power components ,United States of America,Loughmore Centre Loughmore Avenue Raheen Business Park Limerick Limerick Ireland,,
Asset Intertech,+353 74 9188128,+353 74 9188128,www.intertesttech.com/,ICT - Hardware,validation, test and debug solutions for semiconductor, printed circuit board and system manufacturers.,United States of America,Larkin House Old Town Road  Letterkenny Donegal Ireland
Chemical Inspection and Regulation Service Limited,+353 41 9806916,+353 419806999,www.cirs-reach.com,Engineering,REACH solution,China,20 Laurence Street   Drogheda Louth Ireland,,
Radio Systems Petsafe Europe Limited,+353 42 6823910,,www.petsafe.net,,Radio Systems Corporation, doing business as PetSafe, engages in the design and manufacture of pet training, containment, safety
Procuro Euro Limited,+353 87 9467235,+353 1 6864720,www.procuro.com,,,United States of America,Mount Pleasant Business Park Mount Pleasant Avenue Ranelagh Dublin Dublin Ireland,,
Lumin Forest Products,+353 1 2130710,,www.weyerhaeuser.com,,Lumber, Wood Production & Timber Operations ,United States of America,Arena House Arena Road Sandyford Dublin 18 Dublin Ireland,
Deutsche International Corporate Services (Ireland) Limited,+353 1 6806000,+353 1 6806050,www.db.com,,Part of Trust and Securities Services.,Germany,Pinnacle 2 Eastpoint Business Park  Dublin Dublin Ireland,,
BioMarin Ireland Limited,+353 1 479 4318,+353 1 479 4302,www.BMRN.com,Bio Pharmaceuticals,,United States of America,5 Earlsfort Terrace   Dublin Dublin Ireland,,
Reed Specialist Recruitment Ireland Limited,+353 71 9120300,,www.reed.co.uk,Business Services,Personnel Services,United Kingdom,Aclare House The Nest  Tubbercurry Sligo Ireland,,
AXA Assistance,+353 90 6486300,,www.axa-assistance.co.uk,Financial Services,Customer services on assistance products including motor breakdown, out of hour’s claims notification, third party claims handling and fulfilment, windscreen provider referral and home assistance referral, to the UK marketplace
SeaChange International,+353 42 8970132,+353 42 8970132,www.schange.com,ICT,Video server systems sold to cable tv ind..,United States of America,Finnabair Business Park   Dundalk Louth Ireland,,
Partner Reinsurance Ireland,,,www.partnerre.com,,Provides multi-line reinsurance to insurance companies. Risks reinsured include property & casualty/motor, catastrophe, life, alternative risk transfer and specialty lines (agriculture, aviation & space
BOC Aviation (Ireland) Limited,35318934982,,www.bocaviation.com,,,China,The Crescent Building Northwood Santry Dublin Dublin Ireland,,
Cloudbeds Dublin,,,www.cloudbeds.com,,Browser-based hospitality management software that simplifies the working life of hoteliers,United States of America,Thomas Street   Dublin Dublin Ireland,,
Venterra Realty Ireland,,,www.venterraliving.com,,in the identification, finance, acquisition and management of multi-family residential properties,Canada,5 Fitzwilliam Place   Dublin 2 Dublin Ireland
Lonely Planet Global Limited,,,,,,United States of America,Digital Court Rainsford St  Dublin Dublin Ireland,,
Paulson & Company Ireland,,,,,,,Dublin   Dublin Dublin Ireland,,
Emergenetics Ireland,,,,,,United States of America,4 Harbourmaster Place   Dublin 1 Dublin Ireland,,
Goshawk Ireland,,,,,,China,One Molesworth Street   Dublin 2 Dublin Ireland,,
Adobe Systems Software Ireland Limited,+353 1 242 6700,+353 1 242 6711,www.adobe.com,ICT- ICT - Software,,United States of America,4-6 Riverwalk Citywest Business Park  Dublin Dublin Ireland,,
Zetes Ireland,+353 61 333188,+353 61 333133,www.blackbirddatasystems.com,,ADIC & Smart Card Systems,Belgium,Stewart House Lonsdale Road The National Technological ParkPlassey  Limerick Ireland,,
Pinewood Laboratories,+353 52 618 6000,+353 52 613 6311,www.pinewood.ie,,Wosulin (Human Insulin), Biovac B (Hepatitis B Vaccine) and Wepox (Erythropoetin). ,India,Ballymacarbry   Clonmel Tipperary South Ireland,
Getty Images Ireland,+353 1 2462799,+353 1 2462799,www.gettyimages.com,,Digital Imagery and other related products,United States of America,First Floor, The Herbert Building, The Park
Metlife Europe,+353 1 2650700,,www.metlife.co.uk,,Insurance & Investment Products,United States of America,20 on Hatch Lower Hatch Street  Dublin Dublin Ireland,,
Facebook Ireland Ltd,,,www.facebook.com,Business Services- Internet,Social Networking,United States of America,4 Grand Canal Square   Dublin Dublin Ireland,,
Transics Ireland Limited,+353 1 662 9403,,www.transics.com,,real time mobile resource management ,,132 Lower Baggot Street    Dublin Ireland,,
Magh Nala Limited,+353 22 50926,,https://magnicoatings.com/magh-nala/,,Paints and coatings,United States of America,IDA Mallow Business Park   Mallow Cork Ireland,,
Eli Lilly Global Business Solutions Centre,+353 21 4232419,,www.lilly.ie,Bio Pharmaceuticals,,United States of America,Island House  Eastgate Road Eastgate Business Park  Little Island Cork Ireland,,
Mylan Ireland Limited,+353 1 8711600,,,Bio Pharmaceuticals,,Netherlands,Newenham Court Malahide Road  Dublin Dublin Ireland,,
Celestica,+353 91705000,+353 91705001,,ICT- ICT - Hardware,Electronics Manufacturing Services (EMS),Canada,Parkmore Business Park West Ballybrit  Galway Galway Ireland,,
Hannover Re (Ireland) PLC,+353 1 6125700,+353 1 8291400,www.hannover-re.com/advanced solutions,Financial Services,Reinsurance management services.  Manages and provides support services to Hannover Reinsurance (Ireland) Ltd, E+S Reinsurance (Ireland) Ltd, Hannover Reinsurance (Dublin) Ltd and Hannover Life Reassurance (Ireland) Ltd,Germany,4 Custom House Plaza IFSC  Dublin Dublin Ireland
Google Ireland Limited,,,www.google.ie,Internet,Customer support, shared services and datacentre,United States of America,Blocks E1 and E2 The Gasworks Barrow Street Dublin Dublin Ireland,
Honeywell Aerospace Ireland Limited,+353 51 303688,+353 51 303692,,,engines, systems and service solutions for aircraft manufacturers, airlines, business and general aviation, military
IMSTec Ireland Ltd,+353 87 130 8902,,www.imstec.de,,Service provider in production automation, process development and quality control. Customers manufacture in the fields of medical device technology, automotive, semiconductor manufacturing and magnet head manufacturing. ,Germany
Exads,,,,,,Ireland,1st Floor Fenward House Arkle RoadSandyford Dublin Dublin Ireland,,
